jahr;bfs_nr_gemeinde;gemeinde_name;gebaeudehuelle;geak_sanierung;minergie_sanierung;minergie_neubau;holz_bis_70;holz_ab_70;waermepumpe;waermenetzanschluss;waermenetzprojekt;solarthermieanlage;solarstromanlage;batteriespeicher;energieeffizienz;komfortlueftung;elektrofahrzeug;ladeinfrastruktur;geak_plus;energieanalyse;wkk;biogasanlage;sonstige;total
2008;4551;Aadorf;5;;;4;;;;1;;18;5;;;;;;3;;;;;36
2009;4551;Aadorf;23;;;7;4;;4;;;12;4;;;;;;4;;;;;58
2010;4551;Aadorf;39;2;1;5;;1;6;;;19;4;;;;;;9;;;;;86
2011;4551;Aadorf;44;;4;22;;;9;;;22;16;;;2;;;3;;;;;122
2012;4551;Aadorf;16;2;1;10;1;1;5;4;;25;30;;;1;;;3;2;;;;101
2013;4551;Aadorf;12;2;2;4;;;6;5;;8;20;;2;;;;1;;1;;;63
2014;4551;Aadorf;16;;3;14;3;1;2;6;;9;11;;;;;;;;1;;;66
2015;4551;Aadorf;11;;1;1;;2;5;2;;5;1;;;2;;;1;;;;1;32
2016;4551;Aadorf;19;;;;;1;1;5;;1;;;1;;;;2;3;;;4;37
2017;4551;Aadorf;17;1;;4;1;1;7;1;;1;;6;;;;;3;1;;;9;52
2018;4551;Aadorf;16;1;1;;1;;11;;;2;;6;;3;;;4;;;;8;53
2019;4551;Aadorf;10;;;1;2;1;17;;;1;;9;;;16;;5;;;;;62
2020;4551;Aadorf;4;1;;1;;;12;1;1;;;7;2;;17;;6;;;;;52
2008;4711;Affeltrangen;2;;;2;3;;;;;6;1;;;;;;;;;;;14
2009;4711;Affeltrangen;11;;;;1;;1;;;1;;;;;;;2;;;;;16
2010;4711;Affeltrangen;7;;;;;2;;;;2;1;;;;;;1;;;;;13
2011;4711;Affeltrangen;18;;;3;1;;4;;;1;2;;;;;;;;;;;29
2012;4711;Affeltrangen;11;2;;6;1;;3;;;4;6;;;2;;;3;;;;;38
2013;4711;Affeltrangen;4;;;1;;;;1;;6;6;;1;1;;;1;;;;;21
2014;4711;Affeltrangen;1;;1;5;;;4;;;;3;;1;;;;;;;;;15
2015;4711;Affeltrangen;4;;;2;2;;4;;;3;;;2;;;;1;;;;3;21
2016;4711;Affeltrangen;7;;;;;;6;1;;1;;;;;;;;;;;5;20
2017;4711;Affeltrangen;7;;;1;;;6;;;;;6;2;;;;2;1;;;6;31
2018;4711;Affeltrangen;9;;;;;;4;;;2;;3;1;2;;;;;;;3;24
2019;4711;Affeltrangen;5;;;1;;;9;;;;;2;2;1;2;;1;;;;;23
2020;4711;Affeltrangen;;;;1;;1;5;;;;;2;;;6;;2;1;;;;18
2008;4641;Altnau;1;;;1;1;;1;;;5;2;;;;;;;;;;;11
2009;4641;Altnau;1;;;5;;;2;;;2;;;;;;;4;;;;;14
2010;4641;Altnau;9;;;2;;;1;;;4;1;;;;;;3;;;;;20
2011;4641;Altnau;14;;;2;2;1;1;;;1;2;;1;;;;3;;;;;27
2012;4641;Altnau;6;2;;2;;;1;2;;4;4;;2;;;;2;;;;;25
2013;4641;Altnau;4;1;1;1;;;1;1;;3;6;;1;;;;1;;;;;20
2014;4641;Altnau;5;;1;1;;;1;;;1;1;;;;;;2;;;;;12
2015;4641;Altnau;5;1;;;1;;;;;2;1;;;;;;;;;;3;13
2016;4641;Altnau;3;;;1;;;1;;;1;;;;;;;;1;;;;7
2017;4641;Altnau;7;1;;1;;;4;;;2;;;;;;;1;;;;5;21
2018;4641;Altnau;4;;;;;;4;;;;;2;1;;;;1;;;;2;14
2019;4641;Altnau;3;1;;;;1;2;;;;;3;;;3;;3;;;;;16
